header,group,type,sample
Theme,Product Details,System.String,"Western, Wildlife, Sci-Fi, Military, Sports, Animal, Party, Patriotic"
Theme,Product Details,System.String,"Western, Wildlife, Sci-Fi, Military, Sports, Animal, Party, Patriotic"
Theme,Product Details,System.String,"Western, Wildlife, Sci-Fi, Military, Sports, Animal, Party, Patriotic"
Theme,Product Details,System.String,"Western, Wildlife, Sci-Fi, Military, Sports, Animal, Party, Patriotic"
Paper Size,Product Details,System.String,"6 x 5, 8 1/2 x 11"
Paper Size Unit,Product Details,System.String,"Millimetres, Centimetres"
Line Size,Product Details,System.String,0.7 mm
Line Size Unit,Product Details,System.String,Millimeters
Maximum Size,Product Details,System.String,"4.5, 12, 55.75"
Maximum Size Unit,Product Details,System.String,"Meters, Inches"
Paper Finish Type,Product Details,System.String,Matt/Glossy
Total Eaches,Product Details,System.String,"1, 20"
Included Components,Product Details,System.String,"Camera Body, Battery Pack"
Included Components,Product Details,System.String,"Camera Body, Battery Pack"
Included Components,Product Details,System.String,"Camera Body, Battery Pack"
Included Components,Product Details,System.String,"Camera Body, Battery Pack"
Included Components,Product Details,System.String,"Camera Body, Battery Pack"
Recommended Uses For Product,Product Details,System.String,Money
Recommended Uses For Product,Product Details,System.String,Money
Recommended Uses For Product,Product Details,System.String,Money
Recommended Uses For Product,Product Details,System.String,Money
Recommended Uses For Product,Product Details,System.String,Money
Giftwrap Capacity ID,Product Details,System.String,"50,51"
Giftwrap Capacity ID,Product Details,System.String,"50,51"
Giftwrap Capacity ID,Product Details,System.String,"50,51"
Giftwrap Capacity ID,Product Details,System.String,"50,51"
Giftwrap Capacity ID,Product Details,System.String,"50,51"
Net Content Length,Product Details,System.String,200
Net Content Length Unit,Product Details,System.String,Centimeters
Net Content Length,Product Details,System.String,200
Net Content Length Unit,Product Details,System.String,Centimeters
Net Content Count,Product Details,System.String,1
Net Content Count Unit,Product Details,System.String,"Bag, Box, Sheet"
Net Content Count,Product Details,System.String,1
Net Content Count Unit,Product Details,System.String,"Bag, Box, Sheet"
Net Content Count,Product Details,System.String,1
Net Content Count Unit,Product Details,System.String,"Bag, Box, Sheet"
Net Content Count,Product Details,System.String,1
Net Content Count Unit,Product Details,System.String,"Bag, Box, Sheet"
Net Content Count,Product Details,System.String,1
Net Content Count Unit,Product Details,System.String,"Bag, Box, Sheet"
Net Content Area,Product Details,System.String,10
Net Content Area Unit,Product Details,System.String,Square Inches
Net Content Area,Product Details,System.String,10
Net Content Area Unit,Product Details,System.String,Square Inches
Net Content Weight,Product Details,System.String,"12.0, 10.0"
Net Content Weight Unit,Product Details,System.String,"Ounces, Grams"
Net Content Weight,Product Details,System.String,"12.0, 10.0"
Net Content Weight Unit,Product Details,System.String,"Ounces, Grams"
Net Content Volume,Product Details,System.String,576
Net Content Volume Unit,Product Details,System.String,Fluid Ounces
Net Content Volume,Product Details,System.String,576
Net Content Volume Unit,Product Details,System.String,Fluid Ounces
Item Height Floor To Top,Product Details,System.String,100
